News Source,Bias,Reporting,Country,Credibility,Media Type,Traffic,Popularity Estimate
100 Mile Free Press,Left-Center,High,Canada,High Credibility,Newspaper,Minimal Traffic,
100% Fed up,Questionable Sources,Low,United States,Low Credibility,Website Only,Medium Traffic,55
KOLN\KGIN - Lincoln News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KNPL - North Platte News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
WBNS-TV (10tv.com),Least Biased,High,United States,High Credibility,TV Station,High Traffic,
WXIA - 11alive.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,64
12minutos.com,Questionable Sources,Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,32
12 News KPNX,Least Biased,High,United States,High Credibility,,Medium Traffic,55
KNAZ - Flagstaff News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KBMT - 12NewsNow,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,54
WTVG - 13 Action News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WVEC - 13NewsNow.com,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,56
WHAM - Rochester News,Right-Center,High,United States,High Credibility,TV Station,Medium Traffic,
WMAZ - Macon News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
WFIE - Evansville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
OneEighty,Least Biased,Mixed,United States,Medium Credibility,Website Only,No Data,15
1945 - 19fortyfive,Right-Center,Mostly Factual,United States,High Credibility,Website Only,Medium Traffic,
The 19th News,Left,High,United States,High Credibility,Organization/Foundation,Medium Traffic,
2020 Conservative,Questionable Sources,Very Low,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,
2020ElectionCenter.com,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,
21st Century Wire,Conspiracy-Pseudoscience,Mixed,United States,Low Credibility,,Medium Traffic,64
24/7 Wall St,Least Biased,High,United States,High Credibility,Website Only,Medium Traffic,
24jours.com,Questionable Sources,Low,Cameroon,Low Credibility,Website Only,Minimal Traffic,
24ur.com,Least Biased,Mostly Factual,Slovenia,High Credibility,Website Only,High Traffic,59
WEEK - Peoria News,Least Biased,High,United States,High Credibility,TV Station,Minimal Traffic,
2ndVote,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,39
369 News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,Low Credibility,Website Only,Minimal Traffic,34
38 North,Least Biased,High,United States,High Credibility,Organization/Foundation,Medium Traffic,70
KMTV - Omaha News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
KHBS/KHOG - Fort Smith News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
4Chan,Questionable Sources,Very Low,United States,Low Credibility,Website Only,High Traffic,
KFSM Fort Smith-Fayetteville News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,
604 Now,Left-Center,Mostly Factual,Canada,High Credibility,Newspaper,Medium Traffic,46
WPVI - Philadelphia - Action News,Left-Center,High,United States,High Credibility,TV Station,High Traffic,
79Days.News,Conspiracy-Pseudoscience,Very Low,United States,Low Credibility,Website Only,High Traffic,20
7NEWS,Right-Center,Mixed,Australia,Medium Credibility,TV Station,High Traffic,66
KLAS - Las Vegas News,Least Biased,High,United States,High Credibility,TV Station,Medium Traffic,0
911Truth.org,Conspiracy-Pseudoscience,Low,United States,Low Credibility,Website Only,Minimal Traffic,73
The Drive 92.9 - Tulsa,Least Biased,High,United States,High Credibility,Radio Station,Minimal Traffic,
972 Magazine,Left-Center,High,Israel,High Credibility,Website Only,Minimal Traffic,67
9News - KUSA,Least Biased,High,United States,High Credibility,TV Station,High Traffic,67
9 News (Australia),Right-Center,High,Australia,High Credibility,TV Station,High Traffic,79
America First Action SuperPAC,Right,Mixed,United States,Medium Credibility,Organization/Foundation,Minimal Traffic,0
